




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4271)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
histone acetylation (GO:0016573)	110	45	22.81	+	1.97	2.42E-04	6.78E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1297	336	268.97	+	1.25	2.43E-04	6.79E-03
import into nucleus (GO:0051170)	117	47	24.26	+	1.94	2.43E-04	6.79E-03
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	35	21	7.26	+	2.89	2.54E-04	7.07E-03
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	45	23.02	+	1.95	2.64E-04	7.34E-03
internal protein amino acid acetylation (GO:0006475)	118	47	24.47	+	1.92	2.65E-04	7.35E-03
inorganic cation transmembrane transport (GO:0098662)	573	78	118.83	-	.66	2.70E-04	7.48E-03
signal transduction in response to DNA damage (GO:0042770)	167	61	34.63	+	1.76	2.71E-04	7.49E-03
DNA damage checkpoint signaling (GO:0000077)	142	54	29.45	+	1.83	2.71E-04	7.49E-03
phagocytosis (GO:0006909)	329	38	68.23	-	.56	2.74E-04	7.56E-03
regulation of response to endoplasmic reticulum stress (GO:1905897)	86	38	17.83	+	2.13	2.77E-04	7.62E-03
myeloid leukocyte migration (GO:0097529)	124	8	25.72	-	.31	2.78E-04	7.64E-03
regulation of calcium ion transport (GO:0051924)	252	26	52.26	-	.50	2.94E-04	8.06E-03
electron transport chain (GO:0022900)	170	62	35.25	+	1.76	3.02E-04	8.26E-03
organelle localization by membrane tethering (GO:0140056)	170	62	35.25	+	1.76	3.02E-04	8.27E-03
membrane docking (GO:0022406)	179	64	37.12	+	1.72	3.05E-04	8.33E-03
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	40	19.49	+	2.05	3.07E-04	8.38E-03
centrosome cycle (GO:0007098)	88	38	18.25	+	2.08	3.19E-04	8.68E-03
system development (GO:0048731)	4330	794	897.96	-	.88	3.22E-04	8.76E-03
apoptotic process (GO:0006915)	913	245	189.34	+	1.29	3.25E-04	8.82E-03
cellular response to oxygen levels (GO:0071453)	220	75	45.62	+	1.64	3.29E-04	8.91E-03
maturation of SSU-rRNA (GO:0030490)	50	26	10.37	+	2.51	3.31E-04	8.94E-03
ciliary basal body-plasma membrane docking (GO:0097711)	95	40	19.70	+	2.03	3.33E-04	8.97E-03
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	33	20	6.84	+	2.92	3.35E-04	9.01E-03
histone lysine methylation (GO:0034968)	71	33	14.72	+	2.24	3.41E-04	9.17E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	76	34	15.76	+	2.16	3.45E-04	9.26E-03
regulation of B cell activation (GO:0050864)	216	21	44.79	-	.47	3.55E-04	9.49E-03
anatomical structure development (GO:0048856)	5330	994	1105.34	-	.90	3.54E-04	9.49E-03
cation transport (GO:0006812)	824	123	170.88	-	.72	3.67E-04	9.80E-03
cornification (GO:0070268)	113	7	23.43	-	.30	3.68E-04	9.80E-03
establishment of protein localization to mitochondrial membrane (GO:0090151)	30	19	6.22	+	3.05	3.67E-04	9.81E-03
response to chemical (GO:0042221)	4381	805	908.53	-	.89	3.71E-04	9.85E-03
RNA 5'-end processing (GO:0000966)	23	16	4.77	+	3.35	3.85E-04	1.02E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	119	47	24.68	+	1.90	3.88E-04	1.02E-02
signal transduction by p53 class mediator (GO:0072331)	119	47	24.68	+	1.90	3.88E-04	1.03E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	33	15.14	+	2.18	4.05E-04	1.07E-02
anion transport (GO:0006820)	460	60	95.39	-	.63	4.06E-04	1.07E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	63	36.91	+	1.71	4.09E-04	1.07E-02
cellular response to topologically incorrect protein (GO:0035967)	152	56	31.52	+	1.78	4.10E-04	1.08E-02
regulation of transcription by RNA polymerase I (GO:0006356)	34	20	7.05	+	2.84	4.24E-04	1.11E-02
regulation of T cell activation (GO:0050863)	336	40	69.68	-	.57	4.25E-04	1.11E-02
phototransduction (GO:0007602)	44	0	9.12	-	 < 0.01	4.25E-04	1.11E-02
regulation of multicellular organismal process (GO:0051239)	2673	471	554.33	-	.85	4.35E-04	1.14E-02
inorganic ion homeostasis (GO:0098771)	724	106	150.14	-	.71	4.42E-04	1.15E-02
spliceosomal snRNP assembly (GO:0000387)	39	22	8.09	+	2.72	4.49E-04	1.16E-02
regulation of organelle assembly (GO:1902115)	190	66	39.40	+	1.68	4.48E-04	1.16E-02
ER-nucleus signaling pathway (GO:0006984)	39	22	8.09	+	2.72	4.49E-04	1.16E-02
regulation of TOR signaling (GO:0032006)	100	41	20.74	+	1.98	4.49E-04	1.17E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	52	26	10.78	+	2.41	4.54E-04	1.17E-02
regulation of blood circulation (GO:1903522)	278	31	57.65	-	.54	4.60E-04	1.19E-02
microtubule-based transport (GO:0099111)	192	67	39.82	+	1.68	4.63E-04	1.19E-02
somatic diversification of immune receptors (GO:0002200)	43	23	8.92	+	2.58	4.66E-04	1.20E-02
organic hydroxy compound transport (GO:0015850)	156	13	32.35	-	.40	4.66E-04	1.20E-02
cellular response to stimulus (GO:0051716)	6807	1294	1411.64	-	.92	4.68E-04	1.20E-02
positive regulation of cell activation (GO:0050867)	440	57	91.25	-	.62	4.74E-04	1.21E-02
ncRNA 5'-end processing (GO:0034471)	21	15	4.35	+	3.44	4.77E-04	1.22E-02
regulation of translational initiation (GO:0006446)	81	35	16.80	+	2.08	4.90E-04	1.25E-02
positive regulation of lymphocyte activation (GO:0051251)	384	48	79.63	-	.60	4.92E-04	1.25E-02
rhythmic process (GO:0048511)	269	87	55.79	+	1.56	4.94E-04	1.26E-02
DNA biosynthetic process (GO:0071897)	117	46	24.26	+	1.90	5.11E-04	1.30E-02
inner mitochondrial membrane organization (GO:0007007)	54	27	11.20	+	2.41	5.20E-04	1.32E-02
DNA replication-independent nucleosome organization (GO:0034724)	40	22	8.30	+	2.65	5.21E-04	1.32E-02
response to unfolded protein (GO:0006986)	168	60	34.84	+	1.72	5.31E-04	1.34E-02
sodium ion transmembrane transport (GO:0035725)	119	8	24.68	-	.32	5.32E-04	1.34E-02
positive regulation of cell cycle process (GO:0090068)	228	76	47.28	+	1.61	5.39E-04	1.36E-02
regulation of defense response (GO:0031347)	852	129	176.69	-	.73	5.39E-04	1.36E-02
regulation of ATP metabolic process (GO:1903578)	119	46	24.68	+	1.86	5.71E-04	1.43E-02
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	2	13.89	-	.14	5.77E-04	1.44E-02
regulation of catecholamine secretion (GO:0050433)	56	1	11.61	-	.09	5.77E-04	1.45E-02
response to starvation (GO:0042594)	232	77	48.11	+	1.60	5.96E-04	1.49E-02
regulation of mitochondrial gene expression (GO:0062125)	29	18	6.01	+	2.99	6.06E-04	1.51E-02
cellular response to radiation (GO:0071478)	181	63	37.54	+	1.68	6.07E-04	1.51E-02
centriole assembly (GO:0098534)	29	18	6.01	+	2.99	6.06E-04	1.51E-02
positive regulation of cytokine production (GO:0001819)	489	66	101.41	-	.65	6.19E-04	1.54E-02
cellular response to decreased oxygen levels (GO:0036294)	202	69	41.89	+	1.65	6.22E-04	1.54E-02
regulation of cellular amino acid metabolic process (GO:0006521)	66	30	13.69	+	2.19	6.21E-04	1.54E-02
movement of cell or subcellular component (GO:0006928)	1596	267	330.98	-	.81	6.28E-04	1.55E-02
ERAD pathway (GO:0036503)	92	38	19.08	+	1.99	6.32E-04	1.56E-02
interstrand cross-link repair (GO:0036297)	56	27	11.61	+	2.32	6.34E-04	1.56E-02
positive regulation of leukocyte activation (GO:0002696)	429	56	88.97	-	.63	6.41E-04	1.57E-02
regulation of amine transport (GO:0051952)	92	5	19.08	-	.26	6.40E-04	1.57E-02
positive regulation of MAPK cascade (GO:0043410)	525	72	108.87	-	.66	6.40E-04	1.57E-02
DNA-templated transcription, elongation (GO:0006354)	79	34	16.38	+	2.08	6.47E-04	1.58E-02
sensory perception of bitter taste (GO:0050913)	41	0	8.50	-	 < 0.01	6.57E-04	1.60E-02
protein sumoylation (GO:0016925)	62	29	12.86	+	2.26	6.61E-04	1.61E-02
immune response-regulating signaling pathway (GO:0002764)	495	67	102.65	-	.65	6.66E-04	1.62E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	56	32.35	+	1.73	6.67E-04	1.62E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	8.71	-	 < 0.01	6.72E-04	1.63E-02
monocyte chemotaxis (GO:0002548)	42	0	8.71	-	 < 0.01	6.72E-04	1.63E-02
alternative mRNA splicing, via spliceosome (GO:0000380)	22	15	4.56	+	3.29	6.76E-04	1.63E-02
error-free translesion synthesis (GO:0070987)	22	15	4.56	+	3.29	6.76E-04	1.64E-02
positive regulation of proteolysis (GO:0045862)	376	113	77.98	+	1.45	6.79E-04	1.64E-02
nuclear membrane organization (GO:0071763)	73	32	15.14	+	2.11	6.81E-04	1.64E-02
negative regulation of mRNA metabolic process (GO:1903312)	93	38	19.29	+	1.97	6.93E-04	1.66E-02
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	93	38	19.29	+	1.97	6.93E-04	1.67E-02
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	100	40	20.74	+	1.93	6.98E-04	1.67E-02
regulation of intracellular transport (GO:0032386)	364	110	75.49	+	1.46	6.98E-04	1.68E-02
somatic diversification of immunoglobulins (GO:0016445)	33	19	6.84	+	2.78	7.06E-04	1.69E-02
antigen processing and presentation of exogenous antigen (GO:0019884)	186	64	38.57	+	1.66	7.08E-04	1.69E-02
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	27	11.82	+	2.28	7.25E-04	1.73E-02
regulation of metal ion transport (GO:0010959)	262	29	54.33	-	.53	7.26E-04	1.73E-02
respiratory chain complex IV assembly (GO:0008535)	26	17	5.39	+	3.15	7.30E-04	1.74E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	33	15.55	+	2.12	7.34E-04	1.74E-02
protein localization to chromosome (GO:0034502)	69	31	14.31	+	2.17	7.34E-04	1.74E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	41	21.15	+	1.94	7.40E-04	1.75E-02
regulation of cell-cell adhesion (GO:0022407)	439	58	91.04	-	.64	7.44E-04	1.75E-02
cytoplasmic translational initiation (GO:0002183)	30	18	6.22	+	2.89	7.43E-04	1.76E-02
regulation of transmembrane transport (GO:0034762)	591	84	122.56	-	.69	7.52E-04	1.77E-02
anatomical structure morphogenesis (GO:0009653)	2158	375	447.53	-	.84	7.66E-04	1.80E-02
regulation of blood pressure (GO:0008217)	188	18	38.99	-	.46	7.72E-04	1.81E-02
cellular developmental process (GO:0048869)	3634	663	753.62	-	.88	7.84E-04	1.84E-02
cell aging (GO:0007569)	76	33	15.76	+	2.09	7.86E-04	1.84E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	57	33.39	+	1.71	7.94E-04	1.85E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	67	102.03	-	.66	7.94E-04	1.86E-02
cellular metal ion homeostasis (GO:0006875)	561	79	116.34	-	.68	8.03E-04	1.87E-02
regulation of DNA recombination (GO:0000018)	127	48	26.34	+	1.82	8.10E-04	1.88E-02
detection of light stimulus (GO:0009583)	63	2	13.06	-	.15	8.09E-04	1.88E-02
granulocyte chemotaxis (GO:0071621)	82	4	17.01	-	.24	8.25E-04	1.91E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	4	17.01	-	.24	8.25E-04	1.92E-02
DNA packaging (GO:0006323)	202	68	41.89	+	1.62	8.30E-04	1.92E-02
DNA replication-independent nucleosome assembly (GO:0006336)	39	21	8.09	+	2.60	8.35E-04	1.93E-02
virion assembly (GO:0019068)	39	21	8.09	+	2.60	8.35E-04	1.93E-02
cellular defense response (GO:0006968)	53	1	10.99	-	.09	8.46E-04	1.95E-02
activation of immune response (GO:0002253)	530	74	109.91	-	.67	8.49E-04	1.95E-02
regulation of telomere maintenance via telomerase (GO:0032210)	54	26	11.20	+	2.32	8.61E-04	1.98E-02
antigen processing and presentation (GO:0019882)	225	74	46.66	+	1.59	8.62E-04	1.98E-02
cellular response to ionizing radiation (GO:0071479)	71	31	14.72	+	2.11	8.98E-04	2.06E-02
positive regulation of immune response (GO:0050778)	747	112	154.91	-	.72	9.00E-04	2.06E-02
defense response to Gram-negative bacterium (GO:0050829)	91	5	18.87	-	.26	9.42E-04	2.14E-02
transport along microtubule (GO:0010970)	157	56	32.56	+	1.72	9.39E-04	2.14E-02
centriole replication (GO:0007099)	23	15	4.77	+	3.14	9.41E-04	2.14E-02
multicellular organism development (GO:0007275)	4941	924	1024.67	-	.90	9.41E-04	2.15E-02
nucleus organization (GO:0006997)	148	53	30.69	+	1.73	9.57E-04	2.17E-02
transmembrane transport (GO:0055085)	1276	209	264.62	-	.79	9.59E-04	2.17E-02
positive regulation of TOR signaling (GO:0032008)	45	23	9.33	+	2.46	9.66E-04	2.19E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	35	17.63	+	1.99	9.83E-04	2.22E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	28	12.65	+	2.21	9.86E-04	2.23E-02
cytochrome complex assembly (GO:0017004)	36	20	7.47	+	2.68	9.92E-04	2.24E-02
mononuclear cell migration (GO:0071674)	106	7	21.98	-	.32	9.99E-04	2.25E-02
rRNA modification (GO:0000154)	40	21	8.30	+	2.53	9.98E-04	2.25E-02
rRNA methylation (GO:0031167)	28	17	5.81	+	2.93	1.00E-03	2.25E-02
regulation of ubiquitin protein ligase activity (GO:1904666)	28	17	5.81	+	2.93	1.00E-03	2.25E-02
interferon-gamma-mediated signaling pathway (GO:0060333)	72	3	14.93	-	.20	1.04E-03	2.32E-02
response to UV (GO:0009411)	151	54	31.31	+	1.72	1.04E-03	2.33E-02
pre-mRNA cleavage required for polyadenylation (GO:0098789)	13	11	2.70	+	4.08	1.05E-03	2.34E-02
positive regulation of telomere maintenance (GO:0032206)	51	25	10.58	+	2.36	1.09E-03	2.43E-02
cation homeostasis (GO:0055080)	710	106	147.24	-	.72	1.11E-03	2.46E-02
antigen processing and presentation of peptide antigen (GO:0048002)	193	65	40.02	+	1.62	1.14E-03	2.52E-02
tRNA transport (GO:0051031)	37	20	7.67	+	2.61	1.14E-03	2.53E-02
cellular response to hypoxia (GO:0071456)	193	65	40.02	+	1.62	1.14E-03	2.53E-02
regulation of leukocyte migration (GO:0002685)	210	22	43.55	-	.51	1.15E-03	2.55E-02
immune response-activating signal transduction (GO:0002757)	455	62	94.36	-	.66	1.17E-03	2.58E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	62	94.36	-	.66	1.17E-03	2.59E-02
transcription by RNA polymerase III (GO:0006383)	32	18	6.64	+	2.71	1.17E-03	2.59E-02
postreplication repair (GO:0006301)	52	25	10.78	+	2.32	1.18E-03	2.59E-02
regulation of translational fidelity (GO:0006450)	21	14	4.35	+	3.21	1.19E-03	2.60E-02
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	21	14	4.35	+	3.21	1.19E-03	2.60E-02
cellular response to insulin stimulus (GO:0032869)	174	60	36.08	+	1.66	1.18E-03	2.60E-02
mRNA cis splicing, via spliceosome (GO:0045292)	21	14	4.35	+	3.21	1.19E-03	2.60E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	63	28	13.06	+	2.14	1.24E-03	2.71E-02
protein transmembrane transport (GO:0071806)	58	27	12.03	+	2.24	1.25E-03	2.73E-02
response to insulin (GO:0032868)	241	77	49.98	+	1.54	1.26E-03	2.74E-02
killing of cells of other organism (GO:0031640)	87	5	18.04	-	.28	1.28E-03	2.79E-02
ion homeostasis (GO:0050801)	773	118	160.31	-	.74	1.30E-03	2.82E-02
protein stabilization (GO:0050821)	198	66	41.06	+	1.61	1.30E-03	2.82E-02
cellular response to unfolded protein (GO:0034620)	131	48	27.17	+	1.77	1.33E-03	2.89E-02
tRNA methylation (GO:0030488)	43	22	8.92	+	2.47	1.34E-03	2.90E-02
granulocyte migration (GO:0097530)	95	6	19.70	-	.30	1.34E-03	2.91E-02
protein deacylation (GO:0035601)	65	29	13.48	+	2.15	1.36E-03	2.93E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	7	21.15	-	.33	1.36E-03	2.93E-02
cellular amino acid metabolic process (GO:0006520)	283	88	58.69	+	1.50	1.36E-03	2.94E-02
regulation of cellular localization (GO:0060341)	841	222	174.41	+	1.27	1.36E-03	2.94E-02
regulation of lymphocyte proliferation (GO:0050670)	227	25	47.08	-	.53	1.38E-03	2.95E-02
negative regulation of DNA metabolic process (GO:0051053)	140	50	29.03	+	1.72	1.38E-03	2.95E-02
tRNA export from nucleus (GO:0006409)	34	19	7.05	+	2.69	1.40E-03	2.99E-02
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	34	19	7.05	+	2.69	1.40E-03	2.99E-02
regulation of mononuclear cell proliferation (GO:0032944)	229	25	47.49	-	.53	1.40E-03	2.99E-02
cellular ion homeostasis (GO:0006873)	659	98	136.66	-	.72	1.44E-03	3.08E-02
sodium ion transport (GO:0006814)	176	17	36.50	-	.47	1.45E-03	3.08E-02
regulation of mitotic sister chromatid separation (GO:0010965)	66	29	13.69	+	2.12	1.45E-03	3.09E-02
type I interferon signaling pathway (GO:0060337)	68	3	14.10	-	.21	1.48E-03	3.14E-02
cellular response to type I interferon (GO:0071357)	69	3	14.31	-	.21	1.48E-03	3.14E-02
nuclear membrane reassembly (GO:0031468)	54	25	11.20	+	2.23	1.48E-03	3.15E-02
regulation of chromosome separation (GO:1905818)	73	31	15.14	+	2.05	1.53E-03	3.23E-02
sensory perception of light stimulus (GO:0050953)	220	24	45.62	-	.53	1.53E-03	3.23E-02
regulation of gene expression, epigenetic (GO:0040029)	173	59	35.88	+	1.64	1.54E-03	3.25E-02
CENP-A containing chromatin organization (GO:0061641)	30	17	6.22	+	2.73	1.54E-03	3.25E-02
CENP-A containing nucleosome assembly (GO:0034080)	30	17	6.22	+	2.73	1.54E-03	3.25E-02
regulation of cell adhesion (GO:0030155)	731	111	151.60	-	.73	1.55E-03	3.25E-02
centrosome duplication (GO:0051298)	35	19	7.26	+	2.62	1.57E-03	3.29E-02
P-body assembly (GO:0033962)	14	11	2.90	+	3.79	1.58E-03	3.32E-02
mRNA cleavage involved in mRNA processing (GO:0098787)	14	11	2.90	+	3.79	1.58E-03	3.32E-02
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	7.47	-	 < 0.01	1.60E-03	3.35E-02
regulation of leukocyte proliferation (GO:0070663)	246	28	51.02	-	.55	1.60E-03	3.35E-02
regulation of hormone levels (GO:0010817)	538	77	111.57	-	.69	1.65E-03	3.45E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	327	41	67.81	-	.60	1.66E-03	3.46E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	27	16	5.60	+	2.86	1.66E-03	3.46E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	515	144	106.80	+	1.35	1.67E-03	3.46E-02
neutrophil chemotaxis (GO:0030593)	77	4	15.97	-	.25	1.68E-03	3.49E-02
NIK/NF-kappaB signaling (GO:0038061)	81	33	16.80	+	1.96	1.69E-03	3.50E-02
embryonic skeletal system development (GO:0048706)	123	10	25.51	-	.39	1.74E-03	3.59E-02
response to wounding (GO:0009611)	543	78	112.61	-	.69	1.74E-03	3.60E-02
regulation of cardiac conduction (GO:1903779)	58	2	12.03	-	.17	1.76E-03	3.64E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	60	36.91	+	1.63	1.77E-03	3.65E-02
positive regulation of multicellular organismal process (GO:0051240)	1431	241	296.76	-	.81	1.78E-03	3.67E-02
regulation of cellular protein localization (GO:1903827)	561	155	116.34	+	1.33	1.79E-03	3.69E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	105	40	21.77	+	1.84	1.80E-03	3.70E-02
regulation of androgen receptor signaling pathway (GO:0060765)	36	19	7.47	+	2.54	1.81E-03	3.71E-02
positive regulation of DNA repair (GO:0045739)	75	31	15.55	+	1.99	1.83E-03	3.74E-02
protein targeting to mitochondrion (GO:0006626)	57	26	11.82	+	2.20	1.83E-03	3.75E-02
positive regulation of B cell activation (GO:0050871)	171	17	35.46	-	.48	1.84E-03	3.75E-02
regionalization (GO:0003002)	317	40	65.74	-	.61	1.84E-03	3.75E-02
regulation of cation transmembrane transport (GO:1904062)	378	50	78.39	-	.64	1.87E-03	3.79E-02
regulation of T cell proliferation (GO:0042129)	173	17	35.88	-	.47	1.86E-03	3.79E-02
integrated stress response signaling (GO:0140467)	17	12	3.53	+	3.40	1.87E-03	3.80E-02
regulation of systemic arterial blood pressure (GO:0003073)	100	7	20.74	-	.34	1.88E-03	3.82E-02
wound healing (GO:0042060)	444	61	92.08	-	.66	1.89E-03	3.82E-02
neuron recognition (GO:0008038)	48	1	9.95	-	.10	1.91E-03	3.87E-02
chromatin assembly (GO:0031497)	150	52	31.11	+	1.67	1.92E-03	3.88E-02
cellular response to UV (GO:0034644)	91	36	18.87	+	1.91	1.93E-03	3.88E-02
histone mRNA metabolic process (GO:0008334)	24	15	4.98	+	3.01	1.93E-03	3.89E-02
visual perception (GO:0007601)	217	24	45.00	-	.53	1.94E-03	3.89E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	15	4.98	+	3.01	1.93E-03	3.89E-02
nuclear envelope organization (GO:0006998)	84	34	17.42	+	1.95	1.96E-03	3.95E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	64	28	13.27	+	2.11	1.97E-03	3.95E-02
histone exchange (GO:0043486)	46	22	9.54	+	2.31	1.97E-03	3.95E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	64	40.23	+	1.59	2.03E-03	4.06E-02
positive regulation of cell cycle phase transition (GO:1901989)	107	40	22.19	+	1.80	2.05E-03	4.09E-02
ribosomal large subunit assembly (GO:0000027)	28	16	5.81	+	2.76	2.05E-03	4.09E-02
gene silencing (GO:0016458)	153	53	31.73	+	1.67	2.06E-03	4.11E-02
protein-DNA complex disassembly (GO:0032986)	20	13	4.15	+	3.13	2.08E-03	4.14E-02
nucleosome assembly (GO:0006334)	117	43	24.26	+	1.77	2.12E-03	4.21E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	37	19	7.67	+	2.48	2.14E-03	4.24E-02
tissue morphogenesis (GO:0048729)	545	79	113.02	-	.70	2.14E-03	4.25E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	41	22.60	+	1.81	2.15E-03	4.27E-02
negative regulation of cytokine production (GO:0001818)	286	35	59.31	-	.59	2.18E-03	4.30E-02
regulation of DNA biosynthetic process (GO:2000278)	110	41	22.81	+	1.80	2.24E-03	4.42E-02
vacuolar transport (GO:0007034)	155	53	32.14	+	1.65	2.24E-03	4.42E-02
regulation of mitochondrial translation (GO:0070129)	25	15	5.18	+	2.89	2.27E-03	4.45E-02
spindle assembly checkpoint signaling (GO:0071173)	25	15	5.18	+	2.89	2.27E-03	4.45E-02
regulation of double-strand break repair via homologous recombination (GO:0010569)	48	23	9.95	+	2.31	2.26E-03	4.46E-02
mitotic spindle checkpoint signaling (GO:0071174)	25	15	5.18	+	2.89	2.27E-03	4.46E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	25	15	5.18	+	2.89	2.27E-03	4.46E-02
negative regulation of cell-cell adhesion (GO:0022408)	189	20	39.19	-	.51	2.29E-03	4.49E-02
positive regulation of ERAD pathway (GO:1904294)	15	11	3.11	+	3.54	2.32E-03	4.53E-02
regulation of protein localization to chromosome, telomeric region (GO:1904814)	15	11	3.11	+	3.54	2.32E-03	4.54E-02
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	15	11	3.11	+	3.54	2.32E-03	4.54E-02
lymphocyte migration (GO:0072676)	74	4	15.35	-	.26	2.38E-03	4.65E-02
membrane organization (GO:0061024)	972	250	201.57	+	1.24	2.39E-03	4.66E-02
regulation of sister chromatid segregation (GO:0033045)	73	30	15.14	+	1.98	2.40E-03	4.67E-02
response to type I interferon (GO:0034340)	75	4	15.55	-	.26	2.42E-03	4.70E-02
cellular response to amino acid starvation (GO:0034198)	80	32	16.59	+	1.93	2.43E-03	4.70E-02
positive regulation of chromatin organization (GO:1905269)	121	44	25.09	+	1.75	2.47E-03	4.78E-02
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482)	34	0	7.05	-	 < 0.01	2.49E-03	4.81E-02
positive regulation of cellular protein localization (GO:1903829)	306	92	63.46	+	1.45	2.49E-03	4.81E-02
positive regulation of mitotic cell cycle (GO:0045931)	112	41	23.23	+	1.77	2.51E-03	4.84E-02
cellular cation homeostasis (GO:0030003)	642	97	133.14	-	.73	2.51E-03	4.84E-02
response to gamma radiation (GO:0010332)	55	25	11.41	+	2.19	2.52E-03	4.85E-02
nucleotide-excision repair, preincision complex assembly (GO:0006294)	29	16	6.01	+	2.66	2.56E-03	4.90E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	29	16	6.01	+	2.66	2.56E-03	4.91E-02
centromere complex assembly (GO:0034508)	38	19	7.88	+	2.41	2.56E-03	4.91E-02
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	38	19	7.88	+	2.41	2.56E-03	4.92E-02
gene silencing by RNA (GO:0031047)	89	35	18.46	+	1.90	2.56E-03	4.92E-02
